Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION_Nanjing_Jiangsu_CHN_CSWD_582380,32.83,118.8,8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{癈},{癈},{癈},{},{癈},{癈},{},{癈},{m/s},{癈},{m/s},{癈},{m/s},{deg},Units,{},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{m/s},{deg},{癈},{},{癈},{癈},{},{癈},{癈},{},{癈},{kJ/kg},{癈},{kJ/kg},{癈},{kJ/kg},{癈},{},Units,{m/s},{m/s},{m/s},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈},{癈}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-4.6,-3,-14.2,1.1,1.9,-11.3,1.4,2.3,8.2,4.4,7.3,4.5,1.2,250,Cooling,7,6.8,35.2,26.9,34.1,26.8,32.9,26.3,28.3,32.8,27.7,32,27.2,31.4,3.6,220,27.2,23,31,26.7,22.3,30.5,26.1,21.5,29.9,91.6,32.8,89,32.3,86.5,31.6,688,Extremes,7.7,6.6,5.8,31.2,-7.2,37.2,1.9,1.3,-8.5,38.1,-9.6,38.9,-10.7,39.7,-12,40.7
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Summer - Week Nearest Max Temperature For Period,Extreme,7月13日,7月19日,Summer - Week Nearest Average Temperature For Period,Typical,6月22日,6月28日,Winter - Week Nearest Min Temperature For Period,Extreme,1月6日,1月12日,Winter - Week Nearest Average Temperature For Period,Typical,12月22日,1月5日,Autumn - Week Nearest Average Temperature For Period,Typical,10月13日,10月19日,Spring - Week Nearest Average Temperature For Period,Typical,4月12日,4月18日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.5,,,,4.87,3.81,5.7,8.67,16.42,22.41,26.44,27.67,25.58,20.93,14.72,8.96,2,,,,8.81,6.9,7.29,8.87,14.05,18.75,22.5,24.51,24.08,21.45,17.17,12.63,4,,,,12.06,10.11,9.68,10.27,13.21,16.37,19.27,21.28,21.75,20.61,18.1,15.03,,,,,,,,,,,,,,,,,,,,
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment Line #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom/User Format -- WMO#582380; China Standard Weather Data for Analyzing Building Thermal Conditions May 2010; China Meteorological Bureau-Climate Information Center-Climate Data Office and Tsinghua University-Department of Building Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment Line #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Data,Sunday,1月1日,12月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
